16 73
1 10 10
4 6 24
7 10 39
3 7 21
4 10 43
7 11 4
6 10 44
4 12 48
2 7 14
14 15 64
13 16 62
12 14 22
3 12 0
6 16 23
2 3 4
3 15 45
3 8 24
2 6 28
5 13 65
11 16 29
1 14 3
4 9 69
11 12 12
10 16 1
4 8 56
1 8 58
8 15 47
3 5 15
2 11 22
6 15 30
5 12 35
8 11 15
10 14 3
8 12 55
8 10 7
2 13 26
9 12 35
4 15 60
6 9 54
7 12 11
5 8 40
1 6 6
7 13 18
7 9 63
6 8 5
1 13 13
1 3 3
15 16 21
5 7 35
1 2 2
3 16 48
8 16 55
8 13 29
1 5 5
12 15 34
4 7 28
4 13 52
2 9 18
4 5 20
9 15 62
6 7 19
10 12 47
1 7 7
2 14 28
3 4 12
9 10 17
2 4 8
6 13 5
7 16 39
10 13 57
7 15 32
1 16 16
3 11 33
8 14 39
3 14 59
2 12 43
4 11 44
2 10 71
9 13 69
5 15 2
5 16 7
13 14 36
11 14 8
3 9 27
2 15 30
11 15 19
13 15 15
6 11 66
5 6 30
3 10 47
5 11 19
9 16 51
10 15 53
9 14 53
7 14 19
6 12 72
2 16 36
5 14 9
14 16 16
1 4 4
12 16 56
8 9 32
5 10 41
10 11 37
2 8 61
11 13 70
6 14 68
3 6 18
5 9 45
3 13 39
9 11 26
7 8 47
1 12 12
1 15 15
12 13 10
4 16 64
