48 208
6 33 198
18 24 16
16 26 200
38 39 26
21 41 126
27 32 32
16 21 128
1 12 12
4 32 43
38 45 7
13 33 13
34 47 142
7 35 37
2 45 90
2 18 36
26 37 130
45 48 80
19 46 75
10 38 172
15 47 81
16 31 73
27 28 132
10 22 12
4 46 166
12 35 4
12 44 112
27 44 74
10 40 192
46 48 128
9 30 62
29 37 27
6 10 60
8 30 32
25 34 18
16 29 25
17 42 90
38 41 102
14 41 158
36 48 64
2 40 80
8 41 120
37 43 135
33 47 95
14 21 86
1 26 127
13 40 176
10 39 182
26 43 78
29 47 115
41 43 99
8 46 160
12 14 168
7 9 48
14 17 30
41 45 148
3 6 18
30 47 162
13 42 130
25 46 110
29 31 134
13 36 52
18 36 24
1 37 37
26 47 114
22 48 16
20 21 4
5 19 95
10 13 94
4 14 56
22 38 4
19 42 174
27 33 59
15 43 21
7 36 44
41 44 140
14 35 74
35 38 134
16 25 192
7 46 114
11 29 50
9 16 144
31 42 54
25 45 85
21 45 10
15 28 4
4 11 44
20 35 76
12 26 207
38 42 140
3 34 102
19 28 116
2 16 32
9 19 171
12 19 20
30 45 102
40 46 82
4 20 80
11 26 65
13 48 19
18 32 160
7 28 196
12 28 58
2 8 16
16 20 112
23 37 19
9 17 153
17 40 56
14 47 34
21 30 24
43 44 200
28 39 52
1 36 70
6 35 2
34 43 6
12 48 160
29 34 154
23 38 105
4 45 180
31 45 147
23 45 203
22 44 136
37 39 195
12 16 192
1 47 47
34 48 176
6 36 8
14 40 144
24 37 56
4 31 30
27 30 186
6 45 62
9 15 135
21 42 191
7 38 58
18 19 58
4 33 132
6 26 82
15 26 22
28 35 148
9 10 169
14 34 186
11 21 23
26 40 46
11 15 165
1 13 13
10 35 142
20 46 88
7 15 71
20 25 84
15 23 137
11 42 12
11 39 13
15 27 197
9 13 117
11 19 60
30 31 98
9 43 179
43 47 38
17 29 77
17 47 133
30 34 188
14 24 128
33 42 138
14 15 2
2 14 28
12 27 21
16 48 144
6 30 180
7 48 128
6 29 174
4 23 92
10 23 22
11 28 100
27 43 121
26 42 191
6 31 186
29 46 86
18 48 32
24 43 200
34 39 78
13 16 17
4 35 140
20 48 122
8 24 73
32 33 59
8 39 62
9 28 22
13 29 169
44 45 108
39 45 91
14 37 80
11 23 45
2 20 40
9 41 161
4 43 172
16 28 115
15 33 79
24 36 32
33 38 6
23 40 143
7 8 56
7 25 175
3 8 24
19 47 29
11 43 34
6 22 111
26 39 182
5 6 30
26 45 41
21 44 92
42 44 184
11 12 132
11 45 79
4 19 76
23 31 89
15 19 77
12 17 46
11 20 12
21 36 132
3 9 6
1 11 11
32 37 106
37 40 24
22 25 36
31 33 191
1 31 31
6 21 126
16 27 76
2 43 86
18 44 168
10 43 20
2 15 30
23 34 158
41 42 58
2 48 107
5 12 60
33 41 105
15 44 36
37 42 18
5 37 185
12 37 163
28 44 192
13 45 169
4 37 141
30 44 72
2 17 34
43 48 201
15 40 184
37 46 38
21 46 134
24 38 114
5 29 145
33 39 185
35 40 183
39 40 104
27 39 116
2 28 56
2 26 52
22 32 80
4 41 132
1 29 29
14 16 16
36 39 73
24 33 69
15 16 77
20 29 60
38 43 178
5 10 113
3 15 193
20 36 96
4 36 144
35 47 64
41 46 14
19 20 207
34 42 180
12 39 52
7 27 109
6 11 180
32 34 48
17 25 9
6 48 80
4 22 40
15 41 199
32 44 160
12 29 140
5 9 45
19 36 60
37 48 112
3 18 54
21 26 130
29 48 144
2 39 78
2 24 48
11 30 122
27 46 202
8 16 128
36 46 200
18 35 6
27 34 159
14 44 200
15 18 31
17 20 132
36 47 28
29 44 28
1 27 27
1 14 197
10 30 27
24 45 40
12 23 197
15 25 167
6 42 44
20 31 204
20 33 36
15 31 49
32 45 133
23 41 111
13 18 26
9 33 184
4 5 92
5 26 130
13 23 91
26 48 0
10 34 132
15 21 107
13 15 195
18 40 96
17 37 5
5 17 85
30 43 42
8 32 48
16 34 128
7 45 189
26 44 92
7 42 86
27 42 94
1 9 9
4 10 40
1 2 2
5 40 200
3 28 149
3 47 141
31 40 200
19 25 59
2 44 88
36 37 84
22 43 114
38 47 93
20 22 24
40 47 8
7 44 100
12 25 92
30 46 132
3 33 99
23 42 134
3 38 114
17 39 120
35 44 84
37 47 88
9 32 80
40 41 184
