64 61
1 2 2
1 3 3
1 4 4
1 5 5
1 6 6
1 7 7
1 8 8
1 9 9
1 10 10
1 11 11
1 12 12
1 13 13
1 14 14
1 15 15
1 16 16
1 17 17
1 18 18
1 19 19
1 20 20
1 21 21
1 22 22
1 23 23
1 24 24
1 25 25
1 26 26
1 27 27
1 28 28
1 29 29
1 30 30
1 31 31
1 32 32
1 33 33
1 34 34
1 35 35
1 36 36
1 37 37
1 38 38
1 39 39
1 40 40
1 41 41
1 42 42
1 43 43
1 44 44
1 45 45
1 46 46
1 47 47
1 48 48
1 49 49
1 50 50
1 51 51
1 52 52
1 53 53
1 54 54
1 55 55
1 56 56
1 57 57
1 58 58
1 59 59
1 60 60
1 61 0
1 62 1
1 63 2
1 64 3
2 3 6
2 4 8
2 5 10
2 6 12
2 7 14
2 8 16
2 9 18
2 10 20
2 11 22
2 12 24
2 13 26
2 14 28
2 15 30
2 16 32
2 17 34
2 18 36
2 19 38
2 20 40
2 21 42
2 22 44
2 23 46
2 24 48
2 25 50
2 26 52
2 27 54
2 28 56
2 29 58
2 30 60
2 31 1
2 32 3
2 33 5
2 34 7
2 35 9
2 36 11
2 37 13
2 38 15
2 39 17
2 40 19
2 41 21
2 42 23
2 43 25
2 44 27
2 45 29
2 46 31
2 47 33
2 48 35
2 49 37
2 50 39
2 51 41
2 52 43
2 53 45
2 54 47
2 55 49
2 56 51
2 57 53
2 58 55
2 59 57
2 60 59
2 61 0
2 62 2
2 63 4
2 64 6
3 4 12
3 5 15
3 6 18
3 7 21
3 8 24
3 9 27
3 10 30
3 11 33
3 12 36
3 13 39
3 14 42
3 15 45
3 16 48
3 17 51
3 18 54
3 19 57
3 20 60
3 21 2
3 22 5
3 23 8
3 24 11
3 25 14
3 26 17
3 27 20
3 28 23
3 29 26
3 30 29
3 31 32
3 32 35
3 33 38
3 34 41
3 35 44
3 36 47
3 37 50
3 38 53
3 39 56
3 40 59
3 41 1
3 42 4
3 43 7
3 44 10
3 45 13
3 46 16
3 47 19
3 48 22
3 49 25
3 50 28
3 51 31
3 52 34
3 53 37
3 54 40
3 55 43
3 56 46
3 57 49
3 58 52
3 59 55
3 60 58
3 61 0
3 62 3
3 63 6
3 64 9
4 5 20
4 6 24
4 7 28
4 8 32
4 9 36
4 10 40
4 11 44
4 12 48
4 13 52
4 14 56
4 15 60
4 16 3
4 17 7
4 18 11
4 19 15
4 20 19
4 21 23
4 22 27
4 23 31
4 24 35
4 25 39
4 26 43
4 27 47
4 28 51
4 29 55
4 30 59
4 31 2
4 32 6
4 33 10
4 34 14
4 35 18
4 36 22
4 37 26
4 38 30
4 39 34
4 40 38
4 41 42
4 42 46
4 43 50
4 44 54
4 45 58
4 46 1
4 47 5
4 48 9
4 49 13
4 50 17
4 51 21
4 52 25
4 53 29
4 54 33
4 55 37
4 56 41
4 57 45
4 58 49
4 59 53
4 60 57
4 61 0
4 62 4
4 63 8
4 64 12
5 6 30
5 7 35
5 8 40
5 9 45
5 10 50
5 11 55
5 12 60
5 13 4
5 14 9
5 15 14
5 16 19
5 17 24
5 18 29
5 19 34
5 20 39
5 21 44
5 22 49
5 23 54
5 24 59
5 25 3
5 26 8
5 27 13
5 28 18
5 29 23
5 30 28
5 31 33
5 32 38
5 33 43
5 34 48
5 35 53
5 36 58
5 37 2
5 38 7
5 39 12
5 40 17
5 41 22
5 42 27
5 43 32
5 44 37
5 45 42
5 46 47
5 47 52
5 48 57
5 49 1
5 50 6
5 51 11
5 52 16
5 53 21
5 54 26
5 55 31
5 56 36
5 57 41
5 58 46
5 59 51
5 60 56
5 61 0
5 62 5
5 63 10
5 64 15
6 7 42
6 8 48
6 9 54
6 10 60
6 11 5
6 12 11
6 13 17
6 14 23
6 15 29
6 16 35
6 17 41
6 18 47
6 19 53
6 20 59
6 21 4
6 22 10
6 23 16
6 24 22
6 25 28
6 26 34
6 27 40
6 28 46
6 29 52
6 30 58
6 31 3
6 32 9
6 33 15
6 34 21
6 35 27
6 36 33
6 37 39
6 38 45
6 39 51
6 40 57
6 41 2
6 42 8
6 43 14
6 44 20
6 45 26
6 46 32
6 47 38
6 48 44
6 49 50
6 50 56
6 51 1
6 52 7
6 53 13
6 54 19
6 55 25
6 56 31
6 57 37
6 58 43
6 59 49
6 60 55
6 61 0
6 62 6
6 63 12
6 64 18
7 8 56
7 9 2
7 10 9
7 11 16
7 12 23
7 13 30
7 14 37
7 15 44
7 16 51
7 17 58
7 18 4
7 19 11
7 20 18
7 21 25
7 22 32
7 23 39
7 24 46
7 25 53
7 26 60
7 27 6
7 28 13
7 29 20
7 30 27
7 31 34
7 32 41
7 33 48
7 34 55
7 35 1
7 36 8
7 37 15
7 38 22
7 39 29
7 40 36
7 41 43
7 42 50
7 43 57
7 44 3
7 45 10
7 46 17
7 47 24
7 48 31
7 49 38
7 50 45
7 51 52
7 52 59
7 53 5
7 54 12
7 55 19
7 56 26
7 57 33
7 58 40
7 59 47
7 60 54
7 61 0
7 62 7
7 63 14
7 64 21
8 9 11
8 10 19
8 11 27
8 12 35
8 13 43
8 14 51
8 15 59
8 16 6
8 17 14
8 18 22
8 19 30
8 20 38
8 21 46
8 22 54
8 23 1
8 24 9
8 25 17
8 26 25
8 27 33
8 28 41
8 29 49
8 30 57
8 31 4
8 32 12
8 33 20
8 34 28
8 35 36
8 36 44
8 37 52
8 38 60
8 39 7
8 40 15
8 41 23
8 42 31
8 43 39
8 44 47
8 45 55
8 46 2
8 47 10
8 48 18
8 49 26
8 50 34
8 51 42
8 52 50
8 53 58
8 54 5
8 55 13
8 56 21
8 57 29
8 58 37
8 59 45
8 60 53
8 61 0
8 62 8
8 63 16
8 64 24
9 10 29
9 11 38
9 12 47
9 13 56
9 14 4
9 15 13
9 16 22
9 17 31
9 18 40
9 19 49
9 20 58
9 21 6
9 22 15
9 23 24
9 24 33
9 25 42
9 26 51
9 27 60
9 28 8
9 29 17
9 30 26
9 31 35
9 32 44
9 33 53
9 34 1
9 35 10
9 36 19
9 37 28
9 38 37
9 39 46
9 40 55
9 41 3
9 42 12
9 43 21
9 44 30
9 45 39
9 46 48
9 47 57
9 48 5
9 49 14
9 50 23
