16 14
1 2 2
1 3 3
1 4 4
1 5 5
1 6 6
1 7 7
1 8 8
1 9 9
1 10 10
1 11 11
1 12 12
1 13 13
1 14 0
1 15 1
1 16 2
2 3 6
2 4 8
2 5 10
2 6 12
2 7 0
2 8 2
2 9 4
2 10 6
2 11 8
2 12 10
2 13 12
2 14 0
2 15 2
2 16 4
3 4 12
3 5 1
3 6 4
3 7 7
3 8 10
3 9 13
3 10 2
3 11 5
3 12 8
3 13 11
3 14 0
3 15 3
3 16 6
4 5 6
4 6 10
4 7 0
4 8 4
4 9 8
4 10 12
4 11 2
4 12 6
4 13 10
4 14 0
4 15 4
4 16 8
5 6 2
5 7 7
5 8 12
5 9 3
5 10 8
5 11 13
5 12 4
5 13 9
5 14 0
5 15 5
5 16 10
6 7 0
6 8 6
6 9 12
6 10 4
6 11 10
6 12 2
6 13 8
6 14 0
6 15 6
6 16 12
7 8 0
7 9 7
7 10 0
7 11 7
7 12 0
7 13 7
7 14 0
7 15 7
7 16 0
8 9 2
8 10 10
8 11 4
8 12 12
8 13 6
8 14 0
8 15 8
8 16 2
9 10 6
9 11 1
9 12 10
9 13 5
9 14 0
9 15 9
9 16 4
10 11 12
10 12 8
10 13 4
10 14 0
10 15 10
10 16 6
11 12 6
11 13 3
11 14 0
11 15 11
11 16 8
12 13 2
12 14 0
12 15 12
12 16 10
13 14 0
13 15 13
13 16 12
14 15 0
14 16 0
15 16 2
